Sl. No.,Anime Name,Release Year,Certificate,Genre,Running time,Rating,Number of Votes,Gross
122837,,122837,9.1,24 min,(2009–2012),Fullmetal Alchemist: Brotherhood,TV-14,"Animation, Action, Adventure",1.
117525,,117525,8.8,24 min,(2015– ),One Punch Man,TV-PG,"Animation, Action, Comedy",2.
240914,,240914,9,24 min,(2006–2007),Death Note,TV-14,"Animation, Crime, Drama",3.
90177,,90177,8.9,24 min,(1998–1999),Cowboy Bebop,TV-14,"Animation, Action, Adventure",4.
58754,,58754,8.9,24 min,(2011–2014),Hunter x Hunter,TV-14,"Animation, Action, Adventure",5.
45246,,45246,8.8,24 min,(2011–2015),Steins;Gate,TV-14,"Animation, Comedy, Drama",6.
205597,,205597,8.9,24 min,(2013– ),Attack on Titan,TV-MA,"Animation, Action, Adventure",7.
113687,,113687,8.7,24 min,(1996–2003),Dragon Ball Z,TV-PG,"Animation, Action, Adventure",8.
68933,,68933,8.7,24 min,(1989–1996),Dragon Ball Z: Doragon bôru zetto,TV-PG,"Animation, Action, Adventure",9.
70986,,70986,8.7,24 min,(1999– ),One Piece,TV-14,"Animation, Action, Adventure",10.
51356,,51356,8.6,24 min,(2006–2012),Code Geass,TV-14,"Animation, Action, Drama",11.
62526,,62526,8.5,24 min,(2003–2004),Fullmetal Alchemist,TV-PG,"Animation, Action, Adventure",12.
20875,,20875,8.6,24 min,(2004–2010),Monster,TV-14,"Animation, Crime, Drama",13.
29133,,29133,8.7,23 min,(1997–1998),Berserk,TV-14,"Animation, Action, Adventure",14.
13242,,13242,8.6,118 min,(1999),Rurouni Kenshin: Trust and Betrayal,TV-MA,"Animation, Action, Adventure",15.
40983,,40983,8.5,24 min,(2004–2005),Samurai Champloo,TV-MA,"Animation, Action, Adventure",16.
17599,,17599,8.5,24 min,(1996–1999),Rurouni Kenshin: Wandering Samurai,TV-14,"Animation, Action, Adventure",17.
51240,,51240,8.5,24 min,(1995–1996),Shin seiki evangerion,TV-MA,"Animation, Action, Drama",18.
